x,y,prim,raw
2,174,LUT,SLICE_X2Y174
3,174,LUT,SLICE_X3Y174
6,174,LUT,SLICE_X6Y174
7,174,LUT,SLICE_X7Y174
8,174,LUT,SLICE_X8Y174
10,174,LUT,SLICE_X10Y174
11,174,LUT,SLICE_X11Y174
12,174,LUT,SLICE_X12Y174
13,174,LUT,SLICE_X13Y174
15,174,LUT,SLICE_X15Y174
17,174,LUT,SLICE_X17Y174
18,174,LUT,SLICE_X18Y174
21,174,LUT,SLICE_X21Y174
22,174,LUT,SLICE_X22Y174
23,174,LUT,SLICE_X23Y174
25,174,LUT,SLICE_X25Y174
26,174,LUT,SLICE_X26Y174
27,174,LUT,SLICE_X27Y174
30,174,LUT,SLICE_X30Y174
32,174,LUT,SLICE_X32Y174
33,174,LUT,SLICE_X33Y174
35,174,LUT,SLICE_X35Y174
36,174,LUT,SLICE_X36Y174
38,174,LUT,SLICE_X38Y174
41,174,LUT,SLICE_X41Y174
44,174,LUT,SLICE_X44Y174
46,174,LUT,SLICE_X46Y174
47,174,LUT,SLICE_X47Y174
0,173,LUT,SLICE_X0Y173
2,173,LUT,SLICE_X2Y173
3,173,LUT,SLICE_X3Y173
6,173,LUT,SLICE_X6Y173
7,173,LUT,SLICE_X7Y173
8,173,LUT,SLICE_X8Y173
10,173,LUT,SLICE_X10Y173
11,173,LUT,SLICE_X11Y173
12,173,LUT,SLICE_X12Y173
13,173,LUT,SLICE_X13Y173
15,173,LUT,SLICE_X15Y173
17,173,LUT,SLICE_X17Y173
18,173,LUT,SLICE_X18Y173
21,173,LUT,SLICE_X21Y173
22,173,LUT,SLICE_X22Y173
23,173,LUT,SLICE_X23Y173
25,173,LUT,SLICE_X25Y173
26,173,LUT,SLICE_X26Y173
27,173,LUT,SLICE_X27Y173
30,173,LUT,SLICE_X30Y173
32,173,LUT,SLICE_X32Y173
33,173,LUT,SLICE_X33Y173
35,173,LUT,SLICE_X35Y173
36,173,LUT,SLICE_X36Y173
38,173,LUT,SLICE_X38Y173
41,173,LUT,SLICE_X41Y173
44,173,LUT,SLICE_X44Y173
46,173,LUT,SLICE_X46Y173
47,173,LUT,SLICE_X47Y173
0,172,LUT,SLICE_X0Y172
2,172,LUT,SLICE_X2Y172
3,172,LUT,SLICE_X3Y172
6,172,LUT,SLICE_X6Y172
7,172,LUT,SLICE_X7Y172
8,172,LUT,SLICE_X8Y172
10,172,LUT,SLICE_X10Y172
